State FIPS,Area Name,Occupation Code,Occupation Name,Base Year,Base,Projected Year,Projection,Change,Percent Change,Average Annual Openings
0, United States,13-2051,Financial Analysts,2014,277600,2024,310000,32300,11.7,8940
0, United States,13-2052,Personal Financial Advisors,2014,249400,2024,323200,73900,29.6,13640
0, United States,13-2053,Insurance Underwriters,2014,103400,2024,91600,-11700,-11.4,1950
0, United States,13-2061,Financial Examiners,2014,38200,2024,42000,3700,9.7,1310
0, United States,13-2071,Credit Counselors,2014,32600,2024,37600,5000,15.5,1050
0, United States,13-2072,Loan Officers,2014,303200,2024,327700,24500,8.1,7500
0, United States,13-2081,"Tax Examiners and Collectors, and Revenue Agents",2014,67900,2024,63700,-4200,-6.2,2780
0, United States,13-2082,Tax Preparers,2014,90400,2024,91800,1400,1.6,2410
0, United States,13-2099,"Financial Specialists, All Other",2014,145200,2024,152300,7100,4.9,2190
0, United States,15-1111,Computer and Information Research Scientists,2014,25600,2024,28300,2700,10.7,600
0, United States,15-1121,Computer Systems Analysts,2014,567800,2024,686300,118600,20.9,19160
0, United States,15-1122,Information Security Analysts,2014,82900,2024,97700,14800,17.9,2550
0, United States,15-1131,Computer Programmers,2014,328600,2024,302200,-26500,-8,8100
0, United States,15-1132,"Software Developers, Applications",2014,718400,2024,853700,135300,18.8,23800
0, United States,15-1133,"Software Developers, Systems Software",2014,395600,2024,447000,51300,13,10790
0, United States,15-1134,Web Developers,2014,148500,2024,188000,39500,26.6,5860
0, United States,15-1141,Database Administrators,2014,120000,2024,133400,13400,11.1,3920
0, United States,15-1142,Network and Computer Systems Administrators,2014,382600,2024,412800,30200,7.9,7940
0, United States,15-1143,Computer Network Architects,2014,146200,2024,158900,12700,8.7,3150
0, United States,15-1151,Computer User Support Specialists,2014,585900,2024,661000,75100,12.8,15050
0, United States,15-1152,Computer Network Support Specialists,2014,181000,2024,194600,13600,7.5,3690
0, United States,15-1199,"Computer Occupations, All Other",2014,233000,2024,240800,7700,3.3,3770
0, United States,15-2011,Actuaries,2014,24600,2024,29000,4400,18.1,1170
0, United States,15-2021,Mathematicians,2014,3500,2024,4200,700,21.4,130
0, United States,15-2031,Operations Research Analysts,2014,91300,2024,118900,27600,30.2,4390
0, United States,15-2041,Statisticians,2014,30000,2024,40100,10100,33.8,1540
0, United States,15-2091,Mathematical Technicians,2014,1200,2024,1100,-200,-12.6,20
0, United States,15-2099,"Mathematical Science Occupations, All Other",2014,1800,2024,1900,100,5.7,40
0, United States,17-1011,"Architects, Except Landscape and Naval",2014,112600,2024,120400,7800,6.9,2630
0, United States,17-1012,Landscape Architects,2014,22500,2024,23700,1200,5.5,490
0, United States,17-1021,Cartographers and Photogrammetrists,2014,12300,2024,15900,3600,29.3,740
0, United States,17-1022,Surveyors,2014,44300,2024,43400,-900,-2,1370
0, United States,17-2011,Aerospace Engineers,2014,72500,2024,70800,-1600,-2.3,2070
0, United States,17-2021,Agricultural Engineers,2014,2900,2024,3000,100,4.4,70
0, United States,17-2031,Biomedical Engineers,2014,22100,2024,27200,5100,23.1,1090
0, United States,17-2041,Chemical Engineers,2014,34300,2024,34900,600,1.8,1000
0, United States,17-2051,Civil Engineers,2014,281400,2024,305000,23600,8.4,10670
0, United States,17-2061,Computer Hardware Engineers,2014,77700,2024,80100,2400,3.1,1840
0, United States,17-2071,Electrical Engineers,2014,178400,2024,180200,1800,1,4110
0, United States,17-2072,"Electronics Engineers, Except Computer",2014,137400,2024,135500,-1900,-1.4,3030
0, United States,17-2081,Environmental Engineers,2014,55100,2024,62000,6800,12.4,2240
0, United States,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2014,25200,2024,26800,1600,6.2,900
0, United States,17-2112,Industrial Engineers,2014,241100,2024,243200,2100,0.9,7280
0, United States,17-2121,Marine Engineers and Naval Architects,2014,8300,2024,9000,700,8.9,290
0, United States,17-2131,Materials Engineers,2014,25300,2024,25600,300,1.3,920
0, United States,17-2141,Mechanical Engineers,2014,277500,2024,292100,14600,5.3,10250
0, United States,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",2014,8300,2024,8800,500,6.4,270
0, United States,17-2161,Nuclear Engineers,2014,16800,2024,16200,-700,-4,440
0, United States,17-2171,Petroleum Engineers,2014,35100,2024,38500,3400,9.8,1300
0, United States,17-2199,"Engineers, All Other",2014,136900,2024,142300,5500,4,3300
0, United States,17-3011,Architectural and Civil Drafters,2014,94000,2024,91200,-2800,-3,1110
0, United States,17-3012,Electrical and Electronics Drafters,2014,30100,2024,31700,1600,5.4,520
0, United States,17-3013,Mechanical Drafters,2014,65700,2024,61200,-4500,-6.8,780
0, United States,17-3019,"Drafters, All Other",2014,14700,2024,14200,-500,-3.4,170
0, United States,17-3021,Aerospace Engineering and Operations Technicians,2014,11400,2024,11800,400,3.6,320
0, United States,17-3022,Civil Engineering Technicians,2014,74000,2024,77600,3500,4.8,2160
0, United States,17-3023,Electrical and Electronics Engineering Technicians,2014,139400,2024,136600,-2800,-2,3410
0, United States,17-3024,Electro-Mechanical Technicians,2014,14700,2024,14800,100,0.7,370
0, United States,17-3025,Environmental Engineering Technicians,2014,18600,2024,20400,1900,10,640
0, United States,17-3026,Industrial Engineering Technicians,2014,66500,2024,63500,-3000,-4.5,1630
0, United States,17-3027,Mechanical Engineering Technicians,2014,48400,2024,49300,900,2,1280
0, United States,17-3029,"Engineering Technicians, Except Drafters, All Other",2014,70100,2024,69900,-200,-0.2,1710
0, United States,17-3031,Surveying and Mapping Technicians,2014,57300,2024,52900,-4300,-7.6,650
0, United States,19-1011,Animal Scientists,2014,2900,2024,3200,200,7.3,120
0, United States,19-1012,Food Scientists and Technologists,2014,15400,2024,16000,500,3.5,590
0, United States,19-1013,Soil and Plant Scientists,2014,17700,2024,18900,1200,6.7,730
0, United States,19-1021,Biochemists and Biophysicists,2014,34100,2024,36900,2800,8.2,1190
0, United States,19-1022,Microbiologists,2014,22400,2024,23200,800,3.5,680
0, United States,19-1023,Zoologists and Wildlife Biologists,2014,21300,2024,22200,800,4,660
0, United States,19-1029,"Biological Scientists, All Other",2014,36400,2024,36200,-200,-0.4,970
0, United States,19-1031,Conservation Scientists,2014,21100,2024,22500,1400,6.9,1060
0, United States,19-1032,Foresters,2014,15500,2024,16800,1300,8.3,800
0, United States,19-1041,Epidemiologists,2014,5800,2024,6100,400,6.3,220
0, United States,19-1042,"Medical Scientists, Except Epidemiologists",2014,107900,2024,116800,9000,8.3,4240
0, United States,19-1099,"Life Scientists, All Other",2014,10600,2024,11300,800,7.2,400
0, United States,19-2011,Astronomers,2014,1900,2024,1900,100,2.8,40
0, United States,19-2012,Physicists,2014,18100,2024,19500,1400,7.9,490
0, United States,19-2021,Atmospheric and Space Scientists,2014,11800,2024,12900,1100,9.2,330
0, United States,19-2031,Chemists,2014,91100,2024,93500,2400,2.6,2240
0, United States,19-2032,Materials Scientists,2014,7300,2024,7500,200,2.7,180
0, United States,19-2041,"Environmental Scientists and Specialists, Including Health",2014,94600,2024,104800,10200,10.7,3930
0, United States,19-2042,"Geoscientists, Except Hydrologists and Geographers",2014,36400,2024,40200,3800,10.5,1500
0, United States,19-2043,Hydrologists,2014,7000,2024,7500,500,6.9,260
0, United States,19-2099,"Physical Scientists, All Other",2014,28500,2024,28800,300,1,300
0, United States,19-3011,Economists,2014,21500,2024,22700,1200,5.7,700
0, United States,19-3022,Survey Researchers,2014,16700,2024,18700,1900,11.6,390
0, United States,19-3031,"Clinical, Counseling, and School Psychologists",2014,155300,2024,185900,30500,19.6,6380
0, United States,19-3032,Industrial-Organizational Psychologists,2014,2000,2024,2300,400,19.1,80
0, United States,19-3039,"Psychologists, All Other",2014,16600,2024,18300,1600,9.8,520
0, United States,19-3041,Sociologists,2014,2600,2024,2500,0,-0.7,30
0, United States,19-3051,Urban and Regional Planners,2014,38000,2024,40400,2400,6.3,940
0, United States,19-3091,Anthropologists and Archeologists,2014,7700,2024,8000,300,3.8,120
0, United States,19-3092,Geographers,2014,1400,2024,1400,0,-1.6,20
0, United States,19-3093,Historians,2014,3500,2024,3500,100,1.7,50
0, United States,19-3094,Political Scientists,2014,6200,2024,6000,-100,-2.3,70
0, United States,19-3099,"Social Scientists and Related Workers, All Other",2014,35600,2024,34900,-700,-2,420
0, United States,19-4011,Agricultural and Food Science Technicians,2014,33000,2024,34700,1600,4.9,1240
0, United States,19-4021,Biological Technicians,2014,79300,2024,83500,4100,5.2,2630
0, United States,19-4031,Chemical Technicians,2014,66500,2024,67700,1200,1.9,2110
0, United States,19-4041,Geological and Petroleum Technicians,2014,16500,2024,18500,1900,11.8,800
0, United States,19-4051,Nuclear Technicians,2014,6800,2024,6400,-300,-5.1,280
0, United States,19-4061,Social Science Research Assistants,2014,32000,2024,33800,1800,5.6,1520
0, United States,19-4091,"Environmental Science and Protection Technicians, Including Health",2014,36200,2024,39600,3400,9.5,1860
0, United States,19-4092,Forensic Science Technicians,2014,14400,2024,18200,3800,26.6,990
0, United States,19-4093,Forest and Conservation Technicians,2014,32600,2024,30800,-1900,-5.7,1370
0, United States,19-4099,"Life, Physical, and Social Science Technicians, All Other",2014,78200,2024,83500,5300,6.8,3810
0, United States,21-1011,Substance Abuse and Behavioral Disorder Counselors,2014,94900,2024,116200,21200,22.3,4110
0, United States,21-1012,"Educational, Guidance, School, and Vocational Counselors",2014,273400,2024,295900,22500,8.2,7970
0, United States,21-1013,Marriage and Family Therapists,2014,33700,2024,38700,5000,14.8,1210
0, United States,21-1014,Mental Health Counselors,2014,134500,2024,160900,26400,19.6,5450
0, United States,21-1015,Rehabilitation Counselors,2014,120100,2024,130900,10800,9,3600
0, United States,21-1019,"Counselors, All Other",2014,31000,2024,34400,3400,11,990
0, United States,21-1021,"Child, Family, and School Social Workers",2014,305200,2024,324200,19000,6.2,9250
0, United States,21-1022,Healthcare Social Workers,2014,160100,2024,191000,30900,19.3,6950
0, United States,21-1023,Mental Health and Substance Abuse Social Workers,2014,117800,2024,140000,22300,18.9,5070
0, United States,21-1029,"Social Workers, All Other",2014,66400,2024,68900,2500,3.8,1850
0, United States,21-1091,Health Educators,2014,61400,2024,68900,7500,12.2,1950
0, United States,21-1092,Probation Officers and Correctional Treatment Specialists,2014,91700,2024,95000,3300,3.6,2130
0, United States,21-1093,Social and Human Service Assistants,2014,386600,2024,430800,44200,11.4,12000
0, United States,21-1094,Community Health Workers,2014,54300,2024,62400,8100,14.9,1880
0, United States,21-1099,"Community and Social Service Specialists, All Other",2014,102700,2024,111100,8400,8.2,2860
0, United States,21-2011,Clergy,2014,244200,2024,258000,13800,5.6,6630
0, United States,21-2021,"Directors, Religious Activities and Education",2014,131900,2024,137500,5700,4.3,4120
0, United States,21-2099,"Religious Workers, All Other",2014,55900,2024,58500,2600,4.7,1250
0, United States,23-1011,Lawyers,2014,778700,2024,822500,43800,5.6,15770
0, United States,23-1012,Judicial Law Clerks,2014,12400,2024,11600,-800,-6.3,270
0, United States,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",2014,15000,2024,14500,-500,-3.6,220
0, United States,23-1022,"Arbitrators, Mediators, and Conciliators",2014,8400,2024,9200,800,9.2,200
0, United States,23-1023,"Judges, Magistrate Judges, and Magistrates",2014,29700,2024,29900,200,0.6,450
0, United States,23-2011,Paralegals and Legal Assistants,2014,279500,2024,300800,21200,7.6,8270
0, United States,23-2091,Court Reporters,2014,20800,2024,21100,300,1.5,490
0, United States,23-2093,"Title Examiners, Abstractors, and Searchers",2014,71100,2024,70800,-200,-0.3,1560
0, United States,23-2099,"Legal Support Workers, All Other",2014,52600,2024,52400,-200,-0.4,1160
0, United States,25-1011,"Business Teachers, Postsecondary",2014,106800,2024,116200,9400,8.8,2830
0, United States,25-1021,"Computer Science Teachers, Postsecondary",2014,43400,2024,47200,3800,8.7,1150
0, United States,25-1022,"Mathematical Science Teachers, Postsecondary",2014,63500,2024,73900,10400,16.4,2170
0, United States,25-1031,"Architecture Teachers, Postsecondary",2014,9100,2024,9900,800,9.4,250
0, United States,25-1032,"Engineering Teachers, Postsecondary",2014,46000,2024,52000,6000,13.2,1420
0, United States,25-1041,"Agricultural Sciences Teachers, Postsecondary",2014,12100,2024,12800,700,6,290
0, United States,25-1042,"Biological Science Teachers, Postsecondary",2014,64300,2024,74800,10400,16.2,2180
0, United States,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",2014,2300,2024,2400,200,6.8,60
0, United States,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2014,13200,2024,14300,1100,8.7,350
0, United States,25-1052,"Chemistry Teachers, Postsecondary",2014,26600,2024,30700,4100,15.4,880
0, United States,25-1053,"Environmental Science Teachers, Postsecondary",2014,6700,2024,7300,600,8.6,180
0, United States,25-1054,"Physics Teachers, Postsecondary",2014,17700,2024,20400,2700,15,580
0, United States,25-1061,"Anthropology and Archeology Teachers, Postsecondary",2014,7500,2024,8200,700,9.3,200
0, United States,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2014,11600,2024,13300,1700,15.1,380
0, United States,25-1063,"Economics Teachers, Postsecondary",2014,17300,2024,18900,1700,9.7,470
0, United States,25-1064,"Geography Teachers, Postsecondary",2014,5400,2024,5900,400,7.9,140
0, United States,25-1065,"Political Science Teachers, Postsecondary",2014,21600,2024,23700,2100,9.7,590
0, United States,25-1066,"Psychology Teachers, Postsecondary",2014,47300,2024,54700,7500,15.8,1580
0, United States,25-1067,"Sociology Teachers, Postsecondary",2014,20700,2024,23900,3200,15.3,680
0, United States,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2014,12900,2024,15100,2200,17,450
0, United States,25-1071,"Health Specialties Teachers, Postsecondary",2014,210400,2024,250400,40000,19,7720
0, United States,25-1072,"Nursing Instructors and Teachers, Postsecondary",2014,68600,2024,81800,13200,19.3,2540
0, United States,25-1081,"Education Teachers, Postsecondary",2014,75700,2024,82500,6900,9.1,2030
0, United States,25-1082,"Library Science Teachers, Postsecondary",2014,5600,2024,6000,400,8,140
0, United States,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2014,17400,2024,21100,3700,21.4,680
0, United States,25-1112,"Law Teachers, Postsecondary",2014,21100,2024,25700,4600,21.7,830
0, United States,25-1113,"Social Work Teachers, Postsecondary",2014,13700,2024,15600,1900,13.9,430
0, United States,25-1121,"Art, Drama, and Music Teachers, Postsecondary",2014,120700,2024,133700,13000,10.8,3440
0, United States,25-1122,"Communications Teachers, Postsecondary",2014,36000,2024,39500,3500,9.7,990
0, United States,25-1123,"English Language and Literature Teachers, Postsecondary",2014,90800,2024,100200,9400,10.4,2550
0, United States,25-1124,"Foreign Language and Literature Teachers, Postsecondary",2014,37200,2024,41300,4100,10.9,1070
0, United States,25-1125,"History Teachers, Postsecondary",2014,29200,2024,32100,2900,10,810
0, United States,25-1126,"Philosophy and Religion Teachers, Postsecondary",2014,30700,2024,34200,3600,11.6,900
0, United States,25-1191,Graduate Teaching Assistants,2014,159200,2024,169100,9900,6.2,3800
0, United States,25-1192,"Home Economics Teachers, Postsecondary",2014,4300,2024,3800,-500,-11.6,80
0, United States,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2014,22100,2024,24300,2200,10.1,610
0, United States,25-1194,"Vocational Education Teachers, Postsecondary",2014,138500,2024,147600,9100,6.6,3360
0, United States,25-1199,"Postsecondary Teachers, All Other",2014,232300,2024,254000,21700,9.3,6280
0, United States,25-2011,"Preschool Teachers, Except Special Education",2014,441000,2024,470600,29600,6.7,15870
0, United States,25-2012,"Kindergarten Teachers, Except Special Education",2014,159400,2024,168900,9500,5.9,5610
0, United States,25-2021,"Elementary School Teachers, Except Special Education",2014,1358000,2024,1436300,78300,5.8,37870
0, United States,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2014,627500,2024,664200,36800,5.9,17550
0, United States,25-2023,"Career/Technical Education Teachers, Middle School",2014,13700,2024,14600,800,5.9,390
0, United States,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2014,961600,2024,1017500,55900,5.8,28400
0, United States,25-2032,"Career/Technical Education Teachers, Secondary School",2014,79600,2024,79900,300,0.4,1920
0, United States,25-2051,"Special Education Teachers, Preschool",2014,25500,2024,27800,2300,9,710
0, United States,25-2052,"Special Education Teachers, Kindergarten and Elementary School",2014,198100,2024,210600,12500,6.3,4980
0, United States,25-2053,"Special Education Teachers, Middle School",2014,93000,2024,98500,5500,5.9,2300
0, United States,25-2054,"Special Education Teachers, Secondary School",2014,134000,2024,141900,7900,5.9,3310
0, United States,25-2059,"Special Education Teachers, All Other",2014,40400,2024,43300,2900,7.2,1050
0, United States,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2014,77500,2024,83000,5500,7.1,2010
0, United States,25-3021,Self-Enrichment Education Teachers,2014,348700,2024,402200,53500,15.4,11920
0, United States,25-3099,"Teachers and Instructors, All Other",2014,982500,2024,1049000,66500,6.8,25170
0, United States,25-4011,Archivists,2014,6900,2024,7400,500,6.8,260
0, United States,25-4012,Curators,2014,13100,2024,14100,1000,8,510
0, United States,25-4013,Museum Technicians and Conservators,2014,11300,2024,11900,600,5.2,410
0, United States,25-4021,Librarians,2014,143100,2024,145700,2700,1.9,2950
0, United States,25-4031,Library Technicians,2014,101800,2024,107100,5300,5.2,5390
0, United States,25-9011,Audio-Visual and Multimedia Collections Specialists,2014,10000,2024,10800,800,7.9,180
0, United States,25-9021,Farm and Home Management Advisors,2014,10800,2024,11900,1200,10.9,220
0, United States,25-9031,Instructional Coordinators,2014,151100,2024,161600,10500,7,2510
0, United States,25-9041,Teacher Assistants,2014,1234100,2024,1312800,78600,6.4,37450
0, United States,25-9099,"Education, Training, and Library Workers, All Other",2014,124000,2024,133100,9100,7.4,2110
0, United States,27-1011,Art Directors,2014,74600,2024,76400,1800,2.4,1580
0, United States,27-1012,Craft Artists,2014,10600,2024,10600,100,0.6,200
0, United States,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2014,26300,2024,27100,800,3.1,570
0, United States,27-1014,Multimedia Artists and Animators,2014,64400,2024,68300,3900,6,1590
0, United States,27-1019,"Artists and Related Workers, All Other",2014,13400,2024,13500,100,0.4,260
0, United States,27-1021,Commercial and Industrial Designers,2014,38400,2024,39200,800,2,990
0, United States,27-1022,Fashion Designers,2014,23100,2024,23800,700,2.9,620
0, United States,27-1023,Floral Designers,2014,58700,2024,56700,-2000,-3.4,1400
0, United States,27-1024,Graphic Designers,2014,261600,2024,265200,3600,1.4,6580
0, United States,27-1025,Interior Designers,2014,58900,2024,61100,2200,3.8,1620
0, United States,27-1026,Merchandise Displayers and Window Trimmers,2014,120800,2024,124100,3300,2.8,3210
0, United States,27-1027,Set and Exhibit Designers,2014,13300,2024,14200,900,6.8,410
0, United States,27-1029,"Designers, All Other",2014,8900,2024,9500,600,6.2,270
0, United States,27-2011,Actors,2014,69400,2024,76100,6600,9.6,3400
0, United States,27-2012,Producers and Directors,2014,122600,2024,133800,11100,9.1,5050
0, United States,27-2021,Athletes and Sports Competitors,2014,13700,2024,14500,800,5.6,540
0, United States,27-2022,Coaches and Scouts,2014,250600,2024,265400,14800,5.9,9940
0, United States,27-2023,"Umpires, Referees, and Other Sports Officials",2014,19800,2024,20700,1000,4.8,760
0, United States,27-2031,Dancers,2014,13000,2024,13600,600,4.8,480
0, United States,27-2032,Choreographers,2014,7100,2024,7500,400,6.3,270
0, United States,27-2041,Music Directors and Composers,2014,82100,2024,84700,2600,3.2,2640
0, United States,27-2042,Musicians and Singers,2014,173300,2024,179300,6000,3.5,5630
0, United States,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",2014,30000,2024,32100,2100,6.8,1150
0, United States,27-3011,Radio and Television Announcers,2014,42300,2024,36300,-6100,-14.3,1220
0, United States,27-3012,Public Address System and Other Announcers,2014,10200,2024,10500,300,2.9,320
0, United States,27-3021,Broadcast News Analysts,2014,5100,2024,4500,-600,-12.6,160
0, United States,27-3022,Reporters and Correspondents,2014,49300,2024,45100,-4200,-8.5,1590
0, United States,27-3031,Public Relations Specialists,2014,240700,2024,255600,14900,6.2,4360
0, United States,27-3041,Editors,2014,117200,2024,111000,-6200,-5.3,4250
0, United States,27-3042,Technical Writers,2014,52000,2024,57300,5300,10.2,1720
0, United States,27-3043,Writers and Authors,2014,136500,2024,139700,3100,2.3,2610
0, United States,27-3091,Interpreters and Translators,2014,61000,2024,78500,17500,28.7,2720
0, United States,27-3099,"Media and Communication Workers, All Other",2014,33500,2024,37000,3500,10.3,880
0, United States,27-4011,Audio and Video Equipment Technicians,2014,70900,2024,79400,8400,11.9,2190
0, United States,27-4012,Broadcast Technicians,2014,30100,2024,28200,-2000,-6.5,570
0, United States,27-4013,Radio Operators,2014,1200,2024,1200,0,-0.6,20
0, United States,27-4014,Sound Engineering Technicians,2014,16100,2024,17400,1200,7.6,430
0, United States,27-4021,Photographers,2014,124900,2024,128800,3900,3.1,3450
0, United States,27-4031,"Camera Operators, Television, Video, and Motion Picture",2014,25400,2024,25900,500,2,280
0, United States,27-4032,Film and Video Editors,2014,33500,2024,39400,5900,17.6,890
0, United States,27-4099,"Media and Communication Equipment Workers, All Other",2014,19400,2024,18700,-600,-3.3,370
0, United States,29-1011,Chiropractors,2014,45200,2024,53100,7900,17.5,1600
0, United States,29-1021,"Dentists, General",2014,129000,2024,152300,23300,18,4960
0, United States,29-1022,Oral and Maxillofacial Surgeons,2014,6800,2024,8000,1200,17.9,260
0, United States,29-1023,Orthodontists,2014,8200,2024,9700,1500,18.3,320
0, United States,29-1024,Prosthodontists,2014,800,2024,1000,100,17.8,30
0, United States,29-1029,"Dentists, All Other Specialists",2014,6700,2024,7300,600,8.5,190
0, United States,29-1031,Dietitians and Nutritionists,2014,66700,2024,77600,11000,16.4,1600
0, United States,29-1041,Optometrists,2014,40600,2024,51600,11000,27,2550
0, United States,29-1051,Pharmacists,2014,297100,2024,306200,9100,3.1,7840
0, United States,29-1061,Anesthesiologists,2014,33700,2024,40800,7100,21,1610
0, United States,29-1062,Family and General Practitioners,2014,139800,2024,154100,14300,10.2,5190
0, United States,29-1063,"Internists, General",2014,54300,2024,59400,5100,9.4,1970
0, United States,29-1064,Obstetricians and Gynecologists,2014,24400,2024,28700,4300,17.6,1080
0, United States,29-1065,"Pediatricians, General",2014,34800,2024,38400,3600,10.3,1290
0, United States,29-1066,Psychiatrists,2014,28200,2024,32400,4200,14.9,1180
0, United States,29-1067,Surgeons,2014,46000,2024,55100,9100,19.8,2150
